conv_id,query,history,groundtruth
391,,"['84779', '122159', '151313', '191602']","['203371', '165710']"
395,,[],[]
397,,"['147598', '204292']",[]
405,,[],[]
407,,"['119144', '125431', '141788', '204331', '184418', '136632']",[]
411,I love it because the sharks make it so much more scary. I would never want to be stuck like that with them swimming near me! How about you.,"['204334', '166736', '184418', '204331']",[]
415,A princess falls in love with a commoner and they pretty much fight the man she's supposed to marry so they can be together. It was a book turned into a movie,['106388'],"['119144', '184418', '204331']"
418,,"['84001', '196336', '202190', '172109', '178950', '91332']","['120349', '170119', '181097']"
419,That actually used to be my favorite movie for a while. But I didn't like him in it all that much,"['170119', '107673', '164311', '163231']",['137985']
426,I have a movie bud. She loves comedies like @138962 and is always trying to drag me to stuff like that.,"['145338', '104253', '99324', '115463', '106388', '155969', '88487', '204341', '141524', '181097', '138962']",[]
450,,[],[]
455,"I do like that one, but I have seen it already, do you have another suggestion? I like horror, but not stuff like @125431","['198619', '187879']",['127676']
458,"Great, I still have yet to see those. makes me laugh when he was on Conan with Ice Cube promoting htat",['95660'],"['89839', '93013', '76177']"
459,,"['95660', '76177', '204292']","['176293', '96329']"
461,,"['92826', '145463', '204292']",['195902']
462,"wow, i wonder how I never heard of this one. i think i would like it. thanks. do you have maybe one more suggestion?","['78186', '85665']",['149916']
463,,"['88960', '189705', '197200', '161385']",['150451']
464,,"['201744', '188057']",['131830']
465,THAT WAS A GOOD ONE. I AM GLAD WE LIKE THE SAME KIND CAUSE THEN I WILL TAKE YOUR EARLIER SUGGESTION TO HEART,"['89770', '170119']",['169012']
466,,"['106388', '94474']",['162930']
467,,"['124485', '204292']",['122172']
468,i didnt ever watch that. i was unsure of it but I think i will give it a try. i like both of them so much,"['143259', '89839']",['173785']
469,I DID SEE THE FIRST BUT DID NOT GE AROUND TO THE SECOND SO THIS IS A GOOD SUGGESTION I CAN USE,"['155843', '78186']","['76177', '135895']"
470,,"['170119', '143198']",['89770']
471,,"['133232', '89839', '111776', '204292']",['90692']
474,That is a lot of peoples favorite I just had a bad experience with the movie. A horror movie will be ok I did enjoy @125431 and @146741,"['89770', '170119', '125431', '143062', '203424', '146741']","['185171', '100454']"
475,I have seen @81385 and loved it. Cohen brothers are so good. I have seen @191375 so I will give that one a try.,"['81385', '114851', '183056']",['191375']
477,,"['196460', '98746']",['142321']
480,,"['90950', '167623', '119116']",['117515']
481,I do like that one a lot. I think they could actually do great things with a remake of with cgi now these days,"['127676', '187028', '163704', '77161']",['199888']
482,"I did see that, but I wasn't as keen on it as most people. It felt like it was missng something","['79278', '93310']",['127328']
484,,"['111918', '142910', '147250', '190953']",['91481']
485,,"['127328', '172129', '145997', '124461', '107350']",['124268']
487,Hi could you help me find a good scary movie? It could be a thriller or horror or even a drama that is scary,"['134346', '77161', '170501']",['152818']
502,I like most of the movies I see with him in it I think I might like it. Is @193034 a star trek movie?,"['157590', '204292']","['193034', '188155', '120602']"
503,,[],[]
507,,"['119144', '202130', '204292']","['199751', '136632', '157190']"
512,,"['136632', '204292']","['197213', '170305', '157190']"
513,I also liked @79278 but I will check out the @104180 and I will check out @157190 both have had some really good reviews too. So I am sure I will like them,"['79278', '127328', '106887']","['104180', '157190']"
514,,['174475'],"['121179', '158208', '173785']"
516,No I like movies like that. Thrillers are in my top three genre picks. @89770 is a movie I can watch over and over,"['119144', '89770', '185171', '165710']","['135508', '157190']"
518,,"['119144', '157190']","['135508', '177276']"
519,,"['173785', '158208', '177276', '98088', '93013']",['198742']
522,,"['187028', '114341']",['204334']
533,It's like they're trying to find ways to keep John alive because they regret having killed him off in the previous series.,"['201476', '187028', '169419', '129362']",[]
538,,['187028'],[]
540,,"['165261', '108137', '83766']",[]
542,,"['149519', '97819', '139878', '90486']",[]
543,"So Alan, where were we? Sequels right? Since you didn't care much for @149519  I'm guessing you also hated @122278 ...","['149519', '122278', '148231', '180527']",[]
544,i wont say that. just not a fan of them but i watched @165308 and i liked it. wasnt as cheesy as other films,"['165308', '90950']",[]
554,,"['150451', '173785']","['100493', '93013']"
556,"Overall? Probably can't pick a single one but I loved the new @187028 even though it wasn't scary, and then the original @77161","['187028', '135508', '87867', '77161']","['170501', '83192']"
557,,"['98433', '203424', '82602']",[]
558,,"['202175', '78418', '202130', '78340']",['85764']
560,,"['155989', '157394', '138962']",['100030']
561,,"['124461', '97819', '125517']",['180970']
563,WOW BLAST FROM THE PAST I HAVE SEEN THAT AND I LIKED IT A LONG TIME AGO WITH MY MOM,"['125284', '124708', '91366', '166466', '132752']",['106707']
564,,[],[]
567,,"['77798', '106588']",['163510']
569,"ok, i think you are supposed to find me a movie. sci fi is cool if you have other suggestions. I did see @90950 and I liked that a lot","['90950', '181929']",['173843']
570,,"['140066', '161385', '120948', '157263']",['138962']
571,wow i have never heard of that and I am somewhat familiar with Tenacious D. I will have to try that out,"['104391', '166941']",['95750']
573,"I did see that one and liked it a lot. almost as much as the original. Yes, @117840 is one of my favorites","['117840', '187028']","['125431', '180231']"
575,I have seen and liked @83552 I will try @184098 that sounds like a great movie. What is it about,"['108389', '83552', '157590', '82602']",['184098']
579,,"['152847', '140998', '195012', '76829']",['112902']
582,,"['81385', '183056']",['196498']
583,,"['133249', '203371', '77707', '151418', '90950']",[]
584,,[],[]
585,,"['187554', '189950', '199993']",['124377']
586,,"['93402', '191297']",['129362']
588,,"['141578', '140122', '143198']",['111488']
589,,"['147934', '85036', '169376', '170376']",[]
590,hey want to help me find a good sandra bullock movie? something like @113921 but not so much like @132973,"['183459', '113921']",['194808']
593,"actually, if you look up above at the green text, you are the movie recommender, so I will be asking you to help me find something","['93489', '170305', '141788']",['100070']
595,,"['108278', '117122', '140973', '104477']","['102417', '162930']"
596,,"['151299', '143189', '181070', '170376']","['122278', '157590']"
599,,"['147934', '122278', '170376']","['194966', '88936']"
600,How have I not heard of either of those? I think I will like them since they are newer. I am not super fond of his old silly stuff like @102116,"['179438', '148904']","['83105', '172088', '202374']"
601,,"['137023', '204292']","['170376', '151299']"
602,,"['204292', '170376']",['137023']
603,,"['140336', '190418', '121179', '204292']","['78491', '81702', '117881']"
606,,"['156484', '183251', '101775', '157590', '95389', '150887', '83192']",['186461']
609,,"['139730', '134843', '203424']","['149363', '154137']"
610,,"['77798', '197244']","['90418', '146771', '110605', '157190']"
611,,['122021'],"['126337', '189406']"
612,,"['185171', '77161', '130591']",['135508']
613,,"['177112', '177276', '155989', '111918', '191205', '174475']","['100614', '173785']"
614,,"['90950', '78340']","['199680', '104180', '78807', '157190']"
